2024-10-30 20:32:57,457 - ERROR - robots.txt 접근 실패 - 에러: HTTPConnectionPool(host='www.localhost', port=3000): Max retries exceeded with url: /robots.txt (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x105393740>: Failed to resolve 'www.localhost' ([Errno 8] nodename nor servname provided, or not known)"))
2024-10-30 20:32:57,457 - INFO - [StaticCrawler] 방문 중: http://www.localhost:3000/
2024-10-30 20:32:57,458 - ERROR - [StaticCrawler] 요청 실패 - URL: http://www.localhost:3000/, 에러: HTTPConnectionPool(host='www.localhost', port=3000): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x105393ef0>: Failed to resolve 'www.localhost' ([Errno 8] nodename nor servname provided, or not known)"))
2024-10-30 20:32:57,458 - INFO - [StaticCrawler] 크롤링 완료: 0개의 URL 수집.
2024-10-30 20:32:58,376 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/, 깊이: 0
2024-10-30 20:32:58,518 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:32:58,531 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/products, 깊이: 1
2024-10-30 20:32:58,569 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/products
2024-10-30 20:32:58,607 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/posts, 깊이: 1
2024-10-30 20:32:58,636 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/posts
2024-10-30 20:32:58,672 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/login, 깊이: 1
2024-10-30 20:32:58,697 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/login
2024-10-30 20:32:58,709 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 1
2024-10-30 20:32:58,737 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:32:58,775 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/10, 깊이: 2
2024-10-30 20:32:58,814 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/10
2024-10-30 20:32:58,837 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/15, 깊이: 2
2024-10-30 20:32:58,891 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/15
2024-10-30 20:32:58,913 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/12, 깊이: 2
2024-10-30 20:32:58,944 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/12
2024-10-30 20:32:58,964 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/products?page=1, 깊이: 2
2024-10-30 20:32:59,000 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/products?page=1
2024-10-30 20:32:59,077 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/5, 깊이: 2
2024-10-30 20:32:59,107 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/5
2024-10-30 20:32:59,125 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/14, 깊이: 2
2024-10-30 20:32:59,153 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/14
2024-10-30 20:32:59,170 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 2
2024-10-30 20:32:59,195 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:32:59,207 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/3, 깊이: 2
2024-10-30 20:32:59,233 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/3
2024-10-30 20:32:59,249 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/7, 깊이: 2
2024-10-30 20:32:59,273 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/7
2024-10-30 20:32:59,287 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/2, 깊이: 2
2024-10-30 20:32:59,312 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/2
2024-10-30 20:32:59,327 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/11, 깊이: 2
2024-10-30 20:32:59,352 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/11
2024-10-30 20:32:59,367 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/13, 깊이: 2
2024-10-30 20:32:59,388 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/13
2024-10-30 20:32:59,400 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/1, 깊이: 2
2024-10-30 20:32:59,421 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/1
2024-10-30 20:32:59,431 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/6, 깊이: 2
2024-10-30 20:32:59,452 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/6
2024-10-30 20:32:59,464 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/4, 깊이: 2
2024-10-30 20:32:59,483 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/4
2024-10-30 20:32:59,495 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/9, 깊이: 2
2024-10-30 20:32:59,514 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/9
2024-10-30 20:32:59,526 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/products/add, 깊이: 2
2024-10-30 20:32:59,548 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/products/add
2024-10-30 20:32:59,559 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/8, 깊이: 2
2024-10-30 20:32:59,581 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/8
2024-10-30 20:32:59,592 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/products?page=2, 깊이: 2
2024-10-30 20:32:59,619 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/products?page=2
2024-10-30 20:32:59,648 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/13, 깊이: 2
2024-10-30 20:32:59,670 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/13
2024-10-30 20:32:59,680 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/posts?page=1, 깊이: 2
2024-10-30 20:32:59,705 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/posts?page=1
2024-10-30 20:32:59,756 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/4, 깊이: 2
2024-10-30 20:32:59,780 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/4
2024-10-30 20:32:59,793 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/posts/add, 깊이: 2
2024-10-30 20:32:59,830 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/posts/add
2024-10-30 20:32:59,844 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/3, 깊이: 2
2024-10-30 20:32:59,867 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/3
2024-10-30 20:32:59,881 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/9, 깊이: 2
2024-10-30 20:32:59,905 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/9
